igdb_id,category_id,game_name,genre_id
1820,19729,Dragon Quest IX: Sentinels of the Starry Skies,31
1973,14860,Defiance,5
1973,14860,Defiance,12
1973,14860,Defiance,15
2349,28588,Mario Kart 7,10
2349,28588,Mario Kart 7,33
3076,78540,Guns of Icarus Online,5
3076,78540,Guns of Icarus Online,13
3076,78540,Guns of Icarus Online,24
3076,78540,Guns of Icarus Online,31
3076,78540,Guns of Icarus Online,32
3803,7422,The Bard's Tale,12
3803,7422,The Bard's Tale,31
3874,2210,Def Jam Vendetta,4
3874,2210,Def Jam Vendetta,14
5476,17654,Ace Combat 6: Fires of Liberation,13
5476,17654,Ace Combat 6: Fires of Liberation,33
6490,1828,Disney's Chip 'n Dale Rescue Rangers,8
6490,1828,Disney's Chip 'n Dale Rescue Rangers,31
9110,8470,Odin Sphere,12
9607,21088,Clannad,31
9607,21088,Clannad,34
9707,33873,Audiosurf 2,7
9707,33873,Audiosurf 2,9
9707,33873,Audiosurf 2,32
10560,9484,Moto Racer,10
10560,9484,Moto Racer,33
10635,488587,Crossy Road,33
11759,1952,Onimusha: Dawn of Dreams,25
11759,1952,Onimusha: Dawn of Dreams,31
15709,1955669154,Odin Sphere: Leifthrasir,12
16650,369396,NEStalgia,12
16650,369396,NEStalgia,32
18840,867112720,Metal Slug X,5
18840,867112720,Metal Slug X,8
18840,867112720,Metal Slug X,31
